Key,Value
480,168.0
481,165.6
482,164.4
483,163.8
484,161.9
485,162.1
486,163.7
487,162.9
488,158.1
489,150.2
490,144.0
491,138.7
492,135.7
493,131.6
494,128.5
495,123.7
496,120.4
497,146.3
498,149.1
499,152.1
500,135.7
501,116.1
502,112.0
503,104.1
24,166.5
25,163.7
26,161.1
27,158.1
28,156.5
29,155.2
30,153.9
31,152.8
32,147.8
33,142.1
34,133.4
35,127.2
36,128.0
37,124.0
38,121.3
39,117.9
40,115.9
41,140.5
42,144.7
43,147.3
44,130.6
45,117.0
46,104.5
47,85.3
55,171.6
56,171.5
57,172.1
58,158.9
59,151.4
60,149.2
61,141.7
62,135.9
63,130.3
64,125.8
65,153.0
66,153.6
67,157.8
68,147.1
69,139.5
70,134.3
71,130.8
316,173.4
317,173.0
318,170.1
319,170.3
320,165.6
321,160.7
322,155.8
323,149.9
324,144.3
325,139.2
326,129.8
327,125.7
328,123.5
329,148.1
330,149.6
331,153.6
332,151.9
333,145.9
334,136.8
335,100.4
76,154.0
77,155.3
78,154.2
79,154.2
80,154.4
81,155.5
82,148.9
83,144.5
84,140.8
85,134.6
86,131.6
87,126.3
88,121.2
89,150.4
90,152.7
91,156.0
92,144.9
93,138.8
94,137.7
95,136.3
120,182.2
121,179.5
122,177.4
123,175.9
124,174.9
125,173.4
126,172.5
127,169.5
128,164.8
129,154.0
130,151.1
131,145.6
132,141.6
133,136.1
134,132.5
135,128.3
136,126.9
137,154.2
138,157.0
139,159.0
140,136.0
141,113.5
142,105.9
143,113.0
96,175.7
97,172.9
98,170.0
99,169.0
100,165.9
101,163.7
102,162.5
103,159.8
104,146.4
105,139.1
106,126.2
107,125.0
108,117.0
109,112.7
110,110.2
111,106.2
112,106.0
113,129.8
114,132.8
115,135.6
116,116.4
117,92.3
118,86.3
119,73.3
148,179.0
149,183.7
150,182.7
151,181.6
152,177.4
153,170.3
154,162.0
155,156.9
156,150.3
157,147.0
158,140.9
159,137.2
160,133.9
161,161.0
162,160.5
163,157.7
164,147.6
165,142.6
166,141.6
167,134.5
192,180.3
193,166.5
194,167.8
195,168.9
196,168.8
197,167.4
198,166.5
199,165.3
200,160.8
201,157.4
202,143.7
203,132.7
204,121.1
205,111.9
206,108.2
207,106.4
208,106.3
209,131.9
210,135.0
211,140.1
212,130.5
213,119.8
214,118.0
215,112.7
216,159.2
217,156.8
218,156.4
219,157.0
220,155.3
221,155.3
222,155.6
223,153.2
224,148.2
225,142.2
226,137.9
227,133.8
228,128.7
229,122.4
230,118.6
231,115.3
232,114.4
233,139.4
234,143.1
235,147.0
236,135.5
237,126.0
238,121.5
239,117.5
7,157.5
8,152.8
9,145.0
10,139.6
11,135.3
12,132.0
13,126.4
14,123.1
15,119.1
16,117.6
17,143.0
18,145.6
19,148.0
20,130.8
21,115.7
22,109.8
23,107.8
624,181.1
625,178.1
626,177.2
627,178.3
628,179.8
629,179.5
630,179.2
631,177.3
632,162.9
633,157.0
634,149.0
635,144.0
636,139.1
637,131.8
638,127.4
639,123.0
640,120.0
641,143.3
642,141.4
643,139.7
644,120.0
645,98.3
646,85.3
647,60.9
240,163.6
241,159.8
242,156.8
243,155.0
244,153.1
245,152.3
246,149.9
247,149.4
248,140.1
249,133.5
250,130.5
251,127.7
252,124.4
253,117.4
254,114.2
255,111.0
256,109.8
257,133.8
258,136.0
259,137.9
260,121.1
261,108.6
262,103.1
263,96.8
277,127.1
278,115.8
279,112.8
280,111.5
281,137.1
282,139.7
283,144.7
284,135.2
285,127.9
286,127.3
287,127.2
412,158.5
413,156.3
414,154.6
415,155.0
416,153.4
417,153.4
418,147.4
419,141.6
420,140.8
421,134.4
422,133.0
423,129.6
424,125.9
425,152.2
426,155.0
427,157.2
428,141.4
429,133.1
430,131.2
431,127.6
168,161.3
169,166.6
170,164.3
171,166.7
172,167.6
173,166.8
174,166.3
175,161.6
176,156.8
177,144.4
178,133.2
179,128.3
180,125.1
181,120.7
182,117.1
183,114.1
184,112.0
185,135.3
186,137.3
187,137.9
188,130.0
189,112.6
190,100.7
191,97.6
690,141.6
691,138.5
692,96.3
693,80.3
694,76.1
695,61.9
288,155.1
289,158.3
290,156.6
291,152.9
292,150.0
293,149.5
294,149.2
295,146.5
296,144.7
297,136.3
298,132.7
299,129.6
300,126.2
301,121.1
302,118.1
303,115.2
304,113.3
305,137.3
306,140.5
307,144.7
308,132.5
309,120.3
310,119.2
311,120.1
364,187.5
365,186.3
366,163.4
367,176.5
368,170.1
369,166.0
370,150.9
371,144.4
372,144.2
373,139.8
374,135.8
375,130.0
376,126.2
377,154.4
378,155.9
